text,policy_area
"To direct the Secretary of Veterans Affairs
		  to display in each facility of the Department of Veterans Affairs a Women
		  Veterans Bill of Rights and to display in each prosthetics and orthotics clinic
		  of the Department an Injured and Amputee Veterans Bill of Rights, and for other
		  purposes.",Armed Forces and National Security
To clarify the health care provided by the Secretary of Veterans Affairs that constitutes minimum essential coverage.,Armed Forces and National Security
"To amend title 10, United States Code, to ensure that women members of the Armed Forces and their
			 families have access to the contraception they need in order to promote
			 the health and readiness of all members of the Armed Forces, and for other
			 purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the payment of dependency and indemnity compensation to the survivors of former prisoners of war who died on or before September 30, 1999, under the same eligibility conditions as apply to payment of dependency and indemnity compensation to the survivors of former prisoners of war who die after that date.",Armed Forces and National Security
"To direct the Secretary of Defense to review the discharge characterization of former members of
			 the Armed Forces who were discharged by reason of the sexual orientation
			 of the member, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to carry out a demonstration program to expand the
			 availability of telemedicine services for veterans living in rural areas
			 with certain mental health disorders, and for other purposes.",Armed Forces and National Security
"To delay any presumption of death in connection with the
		  kidnapping in Iraq or Afghanistan of a retired member of the Armed Forces to
		  ensure the continued payment of the member’s retired pay.",Armed Forces and National Security
"To amend title 38, United States Code, to allow certain
		  veterans to use educational assistance provided by the Department of Veterans
		  Affairs for franchise training, and for other purposes.",Armed Forces and National Security
"To improve the ability of veterans with medical training to assist the United States in response to national emergencies, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to expand the qualifications for licensed mental health counselors of the Department of Veterans Affairs.",Armed Forces and National Security
"Expressing support for the designation of May 1, 2019, as Silver Star Service Banner Day.",Armed Forces and National Security
"To amend title 10, United States Code, to establish in the Department of Defense an Office of the Victim Advocate, to prescribe the functions of that office, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to extend certain expiring provisions of law administered by
 the Secretary of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the furnishing of health care to veterans by the Department of Veterans Affairs, to improve the processing by the Department of claims for disability compensation, and for other purposes.",Armed Forces and National Security
"To reform Article 32 of the Uniform Code of Military Justice to specify the burden of proof applicable at the investigative hearing, the required qualifications for the investigating officer, the permitted scope of the investigation to assist the convening authority, and the protection of witnesses, and for other purposes.",Armed Forces and National Security
To direct the Inspector General of the Department of Defense and the Comptroller General of the United States to submit to Congress reports regarding White supremacy in the Armed Forces.,Armed Forces and National Security
"To amend section 1154 of title 38, United States Code, to
		  clarify the additional requirements for consideration to be afforded time,
		  place, and circumstances of service in determinations regarding
		  service-connected disabilities.",Armed Forces and National Security
"To authorize the award of the Medal of Honor to First
		  Lieutenant Alonzo H. Cushing for acts of valor during the Civil
		  War.",Armed Forces and National Security
"To name the Department of Veterans Affairs
		  medical center in Spokane, Washington, as the Mann-Grandstaff Department
		  of Veterans Affairs Medical Center.",Armed Forces and National Security
"To amend title 38, United States Code, to
		  increase assistance for disabled veterans who are temporarily residing in
		  housing owned by a family member, and for other purposes.",Armed Forces and National Security
"To designate the National Museum of the Mighty Eighth Air Force in Pooler, Georgia, as the official National Museum of the Mighty Eighth Air Force in the United States, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to enhance treatment of certain small business concerns for
			 purposes of Department of Veterans Affairs contracting goals and
			 preferences, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the ability of veterans to receive in-state
			 tuition using educational assistance administered by the Secretary of
			 Veterans Affairs.",Armed Forces and National Security
To prohibit the United States Armed Forces from promoting anti-American and racist theories. ,Armed Forces and National Security
"To amend title 38, United States Code, to improve health care and services for veterans exposed to toxic substances, and for other purposes.",Armed Forces and National Security
"To direct the Comptroller General of the United States to submit a report on changes in the use of the beneficiary travel program of the Department of Veterans Affairs during COVID–19, and for other purposes.",Armed Forces and National Security
"To extend the date for the submittal of the final report of the National Commission on Terrorist Attacks on the United States, to provide additional funding for the Commission, and for other purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to provide for eating disorders treatment for members of the Armed Forces and certain dependents of members and former members of the uniformed services, and for other purposes.",Armed Forces and National Security
"To amend title 32, United States Code, to provide members
		  of the National Guard additional time to transition to civilian life when they
		  return from active duty in support of contingency operations or homeland
		  defense missions.",Armed Forces and National Security
"Resolution Commending the City of Jacksonville, Arkansas, for its outstanding support in creating a unique and lasting partnership with Little Rock Air Force Base, members of the Armed Forces stationed there, and their families.",Armed Forces and National Security
"To amend title 38, United States Code, to
		  improve educational assistance for veterans who served in the Armed Forces
		  after September 11, 2001, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to submit to Congress annual reports on beneficiary
			 travel, and for other purposes.",Armed Forces and National Security
"To suspend the authority for the Western Hemisphere
		  Institute for Security Cooperation (the successor institution to the United
		  States Army School of the Americas) in the Department of Defense, and for other
		  purposes.",Armed Forces and National Security
"To enhance protections of civilians during United States military operations, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the circumstances under which the Secretary
			 of Veterans Affairs shall provide reimbursement for emergency ambulance
			 services.",Armed Forces and National Security
"To amend title 10, United States Code, to require
		  emergency contraception to be available at all military health care treatment
		  facilities.",Armed Forces and National Security
"Expressing support for the designation of October 23, 2021, as a national day of remembrance of the tragic 1983 terrorist bombing of the United States Marine Corps barracks in Beirut, Lebanon.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the VA Work-Study program.",Armed Forces and National Security
To require the commanding general of the District of Columbia National Guard to reside in the District of Columbia.,Armed Forces and National Security
"To require the Secretary of Defense to seek to enter into an agreement with the National Academies of Sciences, Engineering, and Medicine to study and report on the incidence of cancer diagnosis and mortality among pilots in the uniformed services, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to remove certain
		  limitations on attorney representation of claimants for veterans benefits in
		  administrative proceedings before the Department of Veterans Affairs, and for
		  other purposes.",Armed Forces and National Security
To state the policy of the United States on the minimum number of available battle force ships.,Armed Forces and National Security
"To amend title 38, United States Code, to prohibit smoking on the premises of any facility of the Veterans Health Administration, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to improve service disabled veterans’ insurance.",Armed Forces and National Security
To make technical corrections to the Pay Our Military Act to include midshipmen at the United States Merchant Marine Academy who are appointed as midshipmen in the Navy Reserve. ,Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to establish a registry of certain veterans who were
			 stationed at Fort McClellan, Alabama, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to consider certain time spent by members of reserve
			 components of the Armed Forces while receiving medical care from the
			 Secretary of Defense as active duty for purposes of eligibility for
			 Post-9/11 Educational Assistance, and for other purposes.",Armed Forces and National Security
To amend the Communities Helping Invest through Property and Improvements Needed for Veterans Act of 2016 to extend the pilot program authorized by such Act.,Armed Forces and National Security
"To amend the Servicemembers Civil Relief Act to
		  permanently extend the period of protections for servicemembers against
		  mortgage foreclosures, and for other purposes.",Armed Forces and National Security
"To study the needs of Wounded Women
		  Warriors.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to make certain improvements relating to the transmission of disability benefits questionnaire data to the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To increase, effective as of December 1, 2012, the rates of compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for the survivors of certain disabled veterans, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to require that educational institutions abide by certain
			 principles as a condition of approval for purposes of the educational
			 assistance programs of the Department of Veterans Affairs, and for other
			 purposes.",Armed Forces and National Security
"To award a Congressional gold medal to the 5307th Composite Unit (Provisional), commonly known as Merrill’s Marauders, in recognition of their bravery and outstanding service in the jungles of Burma during World War
			 II.",Armed Forces and National Security
Honoring the 100th anniversary of Disabled American Veterans.,Armed Forces and National Security
"Expressing the sense of the Senate that the United States should leave no member of the Armed
			 Forces unaccounted for during the drawdown of forces in Afghanistan.",Armed Forces and National Security
"Expressing support for the goals of
		  Veterans Educate Today’s Students (VETS) Day, and for other
		  purposes.",Armed Forces and National Security
"Expressing support for designation of a
		  Welcome Home Vietnam Veterans Day.",Armed Forces and National Security
Expressing support for designation of a Welcome Home Vietnam Veterans Day.,Armed Forces and National Security
"To improve the provision of financial literacy training and information relating to the Blended Retirement System to members of the Armed Forces, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to make an individual who is eligible for educational
			 assistance under chapter 33 of such title, transfers such educational
			 assistance to a dependent, and fails to complete a service agreement,
			 solely liable for any overpayment of such educational assistance.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for unlimited eligibility for health care for mental illnesses for veterans of combat service during certain periods of hostilities and war.",Armed Forces and National Security
Honoring the faithful and unwavering service of Civil Air Transport and Air America to the United States.,Armed Forces and National Security
"To amend title 38, United States Code, to provide for a presumption of service connection for certain diseases associated with exposure to toxins, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to provide technical assistance to recipients of grants for supportive services for very low-income families in permanent housing and comprehensive service programs, and for other purposes.",Armed Forces and National Security
"To authorize an electronic health record modernization program of the Department of Veterans Affairs and increase oversight and accountability of the program to better serve veterans, medical professionals of the Department, and taxpayers, and for other purposes.",Armed Forces and National Security
"To authorize the President to award the Purple Heart to Louis Boria, Jr., for injuries incurred during World War II and the Korean War while a member of the Marine Corps.",Armed Forces and National Security
"To amend title 10, United States Code, to extend certain morale, welfare, and recreation privileges to certain veterans and their caregivers, to authorize the appropriation of funds for the purpose of improving the electronic physical access control system used by military commissaries and exchanges, and for other purposes.",Armed Forces and National Security
"To award a Congressional Gold Medal to the female telephone operators of the Army Signal Corps, known as the Hello Girls.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to carry out a pilot program to improve the access to
			 private health care for veterans who are survivors of military sexual
			 trauma.",Armed Forces and National Security
"To amend title 38, United States Code, to deem certain
		  service in the organized military forces of the Government of the Commonwealth
		  of the Philippines and the Philippine Scouts to have been active service for
		  purposes of benefits under programs administered by the Secretary of Veterans
		  Affairs.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the payment of stipends to veterans who pursue doctoral degrees in science or technology.",Armed Forces and National Security
Expressing the sense of the House of Representatives that not fully resourcing the United States Army in a timely manner erodes the Army’s ability to maintain readiness and poses risk to the Army’s ability to conduct military operations.,Armed Forces and National Security
To reform the disposition of charges and convening of courts-martial for certain offenses under the Uniform Code of Military Justice and increase the prevention of sexual assaults and other crimes in the military.,Armed Forces and National Security
"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to provide
			 certain veterans with nonarticulating trailers in furnishing adaptive
			 equipment to veterans.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the establishment of epilepsy centers of excellence in the Veterans Health Administration of the Department of Veterans Affairs.",Armed Forces and National Security
